INSERT INTO User VALUES ('-500', 'Jaime Tan', 'P00500', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-478', 'Kassidy Wong', 'P00478', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-477', 'Ayaan Goh', 'P00477', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-476', 'Nico Lai', 'P00476', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-475', 'Gloria Ma', 'P00475', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-474', 'Mohammad Leong', 'P00474', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-473', 'Serena Hickman', 'P00473', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-472', 'Moises Gomez', 'P00472', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-471', 'Kora Ma', 'P00471', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-470', 'Nasir Kim', 'P00470', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-469', 'Sylvia Chan', 'P00469', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-468', 'Sasha Conley', 'P00468', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-467', 'Hallie Hickman', 'P00467', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-466', 'Katie Ho', 'P00466', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-465', 'Skye Ha', 'P00465', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-464', 'Avianna Kwok', 'P00464', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-463', 'Jillian Hickman', 'P00463', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-462', 'Alonzo Loong', 'P00462', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-461', 'Dallas Loo', 'P00461', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-460', 'Justice Ramirez', 'P00460', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-459', 'Itzel Chong', 'P00459', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-458', 'Sabrina Ramirez', 'P00458', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-457', 'Katelyn Chin', 'P00457', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-456', 'Imani Wong', 'P00456', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-455', 'Lauryn Chua', 'P00455', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-454', 'Dennis Ha', 'P00454', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-453', 'Lewis Lim', 'P00453', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-452', 'Royal Khoo', 'P00452', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-451', 'Gustavo Chai', 'P00451', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-450', 'Dorian Leong', 'P00450', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-449', 'Colette Chau', 'P00449', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-448', 'Lionel Chin', 'P00448', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-447', 'Otto Yong', 'P00447', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-446', 'Braylon Sun', 'P00446', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-445', 'Soren Krause', 'P00445', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-444', 'Justice Sun', 'P00444', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-443', 'Ivanna Cheong', 'P00443', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-442', 'Anne Liew', 'P00442', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-441', 'Eve Chua', 'P00441', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-440', 'Alijah Ho', 'P00440', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-439', 'Rowen Khoo', 'P00439', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-438', 'Elian Ramirez', 'P00438', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-437', 'Alijah Khoo', 'P00437', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-436', 'Francesca Ramirez', 'P00436', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-435', 'Christina Chin', 'P00435', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-434', 'Kennedi Wong', 'P00434', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-433', 'Omari Ma', 'P00433', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-432', 'Lauryn Ma', 'P00432', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-431', 'Skyler Allen', 'P00431', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-430', 'Alanna Chau', 'P00430', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-429', 'Carter Sze', 'P00429', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-428', 'Sage Kim', 'P00428', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-427', 'Elaine Looi', 'P00427', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-426', 'Donald Loong', 'P00426', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-425', 'Nikolas Chong', 'P00425', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-424', 'Sylvia Chai', 'P00424', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-423', 'Taylor Chong', 'P00423', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-422', 'Kennedi Ong', 'P00422', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-421', 'Aylin Ma', 'P00421', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-420', 'Julio Foong', 'P00420', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-419', 'Bethany Yap', 'P00419', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-418', 'Imani Conley', 'P00418', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-417', 'Jamison Song', 'P00417', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-416', 'Franklin Lyons', 'P00416', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-415', 'Kelly Ma', 'P00415', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-414', 'Celine Siew', 'P00414', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-413', 'Brennan Kwok', 'P00413', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-412', 'Skyler Khoo', 'P00412', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-411', 'Jerry Chua', 'P00411', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-410', 'Meredith Tan', 'P00410', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-409', 'Royalty Chong', 'P00409', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-408', 'Coraline Looi', 'P00408', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-407', 'Korbin Gomez', 'P00407', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-406', 'Jamison Cheong', 'P00406', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-405', 'Emmitt Krause', 'P00405', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-404', 'Edison Sze', 'P00404', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-403', 'Aviana Lai', 'P00403', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-402', 'Alijah Song', 'P00402', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-401', 'Mohamed Ha', 'P00401', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-400', 'Mohammad Kim', 'P00400', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-399', 'Lorelai Lai', 'P00399', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-398', 'Ariel Wong', 'P00398', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-397', 'Elliott Loh', 'P00397', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-396', 'Luciano Chua', 'P00396', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-395', 'Hallie Lim', 'P00395', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-394', 'Sylvia Chew', 'P00394', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-393', 'Finnegan Kong', 'P00393', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-392', 'Celeste Chai', 'P00392', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-391', 'Edison Siew', 'P00391', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-390', 'Maryam Loong', 'P00390', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-389', 'Ahmed Soo', 'P00389', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-388', 'Baylee Soo', 'P00388', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-387', 'Myra Lai', 'P00387', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-386', 'Aubrie Foong', 'P00386', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-385', 'Sabrina Conley', 'P00385', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-384', 'Chris Tong', 'P00384', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-383', 'Remington Kwok', 'P00383', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-382', 'Hattie Ma', 'P00382', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-381', 'Oakley Osborne', 'P00381', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-380', 'Kaliyah Ho', 'P00380', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-379', 'Cullen Lai', 'P00379', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-378', 'Annabella Cheong', 'P00378', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-377', 'Holly Lim', 'P00377', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-376', 'Nayeli Lim', 'P00376', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-375', 'Kamryn Gomez', 'P00375', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-374', 'Francesca Sze', 'P00374', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-373', 'Hattie Liew', 'P00373', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-372', 'Edison Loo', 'P00372', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-371', 'Nikolai Law', 'P00371', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-370', 'Kara Conley', 'P00370', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-369', 'Cason Foong', 'P00369', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-368', 'Jamari Ng', 'P00368', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
INSERT INTO User VALUES ('-367', 'Brennan Osborne', 'P00367', 'default.jpg', '$2b$12$3m15Cp5Yah//3.ZwUY5g4OWPvSVjhYeVkGaX8PvEBVdp7mM4R/dA2');
